track_id,x,y,class,camera_id,intersection_id,phase,name
track_id,x,y,class,camera_id,intersection_id,phase,name
1558,616,101,car,3,7356,00847b,00847bcar2
1558,616,89,car,3,7356,00847b,00847bcar2
1558,616,73,car,3,7356,00847b,00847bcar2
1558,616,58,car,3,7356,00847b,00847bcar2
1558,616,42,car,3,7356,00847b,00847bcar2
1558,560,350,car,3,7356,00847b,00847bcar3
1558,582,311,car,3,7356,00847b,00847bcar3
1558,594,284,car,3,7356,00847b,00847bcar3
1558,600,266,car,3,7356,00847b,00847bcar3
1558,605,257,car,3,7356,00847b,00847bcar3
1558,611,232,car,3,7356,00847b,00847bcar3
1558,615,184,car,3,7356,00847b,00847bcar3
1558,615,173,car,3,7356,00847b,00847bcar3
1558,616,151,car,3,7356,00847b,00847bcar3
1558,616,142,car,3,7356,00847b,00847bcar3
1558,616,129,car,3,7356,00847b,00847bcar3
1558,616,101,car,3,7356,00847b,00847bcar3
1558,616,89,car,3,7356,00847b,00847bcar3
1558,616,73,car,3,7356,00847b,00847bcar3
1558,616,58,car,3,7356,00847b,00847bcar3
1558,616,42,car,3,7356,00847b,00847bcar3
570,548,27,car,3,7356,0000ff,0000ffcar0
570,554,49,car,3,7356,0000ff,0000ffcar0
570,555,69,car,3,7356,0000ff,0000ffcar0
570,559,75,car,3,7356,0000ff,0000ffcar0
570,559,80,car,3,7356,0000ff,0000ffcar0
570,561,83,car,3,7356,0000ff,0000ffcar0
570,561,86,car,3,7356,0000ff,0000ffcar0
570,561,86,car,3,7356,0000ff,0000ffcar0
570,563,87,car,3,7356,0000ff,0000ffcar0
570,563,89,car,3,7356,0000ff,0000ffcar0
570,567,91,car,3,7356,0000ff,0000ffcar0
570,567,94,car,3,7356,0000ff,0000ffcar0
570,567,97,car,3,7356,0000ff,0000ffcar0
570,567,98,car,3,7356,0000ff,0000ffcar0
570,567,107,car,3,7356,0000ff,0000ffcar0
570,567,119,car,3,7356,0000ff,0000ffcar0
570,567,124,car,3,7356,0000ff,0000ffcar0
570,567,129,car,3,7356,0000ff,0000ffcar0
570,568,135,car,3,7356,0000ff,0000ffcar0
570,571,176,car,3,7356,0000ff,0000ffcar0
570,574,183,car,3,7356,0000ff,0000ffcar0
570,574,190,car,3,7356,0000ff,0000ffcar0
570,575,199,car,3,7356,0000ff,0000ffcar0
570,581,213,car,3,7356,0000ff,0000ffcar0
570,582,233,car,3,7356,0000ff,0000ffcar0
570,594,258,car,3,7356,0000ff,0000ffcar0
570,595,269,car,3,7356,0000ff,0000ffcar0
570,601,275,car,3,7356,0000ff,0000ffcar0
570,603,286,car,3,7356,0000ff,0000ffcar0
570,620,311,car,3,7356,0000ff,0000ffcar0
570,636,342,car,3,7356,0000ff,0000ffcar0
570,658,370,car,3,7356,0000ff,0000ffcar0
570,664,382,car,3,7356,0000ff,0000ffcar0
570,706,425,car,3,7356,0000ff,0000ffcar0
570,715,431,car,3,7356,0000ff,0000ffcar0
570,735,439,car,3,7356,0000ff,0000ffcar0
570,744,448,car,3,7356,0000ff,0000ffcar0
570,755,453,car,3,7356,0000ff,0000ffcar0
570,765,455,car,3,7356,0000ff,0000ffcar0
570,785,455,car,3,7356,0000ff,0000ffcar0
570,796,458,car,3,7356,0000ff,0000ffcar0
570,805,458,car,3,7356,0000ff,0000ffcar0
570,816,460,car,3,7356,0000ff,0000ffcar0
570,847,463,car,3,7356,0000ff,0000ffcar0
570,877,469,car,3,7356,0000ff,0000ffcar0
570,884,469,car,3,7356,0000ff,0000ffcar0
570,890,469,car,3,7356,0000ff,0000ffcar0
570,900,471,car,3,7356,0000ff,0000ffcar0
1890,1068,210,car,3,7356,0000ff,0000ffcar1
1890,963,242,car,3,7356,0000ff,0000ffcar1
1890,912,263,car,3,7356,0000ff,0000ffcar1
1890,856,284,car,3,7356,0000ff,0000ffcar1
1890,792,305,car,3,7356,0000ff,0000ffcar1
1890,761,316,car,3,7356,0000ff,0000ffcar1
1890,729,332,car,3,7356,0000ff,0000ffcar1
1890,633,369,car,3,7356,0000ff,0000ffcar1
1890,566,400,car,3,7356,0000ff,0000ffcar1
1890,537,408,car,3,7356,0000ff,0000ffcar1
1890,502,422,car,3,7356,0000ff,0000ffcar1
1890,443,437,car,3,7356,0000ff,0000ffcar1
1890,401,452,car,3,7356,0000ff,0000ffcar1
35,705,724,car,3,7356,1100ee,1100eecar0
35,703,724,car,3,7356,1100ee,1100eecar0
35,703,717,car,3,7356,1100ee,1100eecar0
35,701,717,car,3,7356,1100ee,1100eecar0
35,699,693,car,3,7356,1100ee,1100eecar0
35,691,638,car,3,7356,1100ee,1100eecar0
35,691,625,car,3,7356,1100ee,1100eecar0
35,690,612,car,3,7356,1100ee,1100eecar0
35,686,610,car,3,7356,1100ee,1100eecar0
35,686,595,car,3,7356,1100ee,1100eecar0
35,683,576,car,3,7356,1100ee,1100eecar0
35,682,533,car,3,7356,1100ee,1100eecar0
35,674,474,car,3,7356,1100ee,1100eecar0
35,674,452,car,3,7356,1100ee,1100eecar0
35,671,429,car,3,7356,1100ee,1100eecar0
35,671,404,car,3,7356,1100ee,1100eecar0
35,669,376,car,3,7356,1100ee,1100eecar0
35,666,363,car,3,7356,1100ee,1100eecar0
35,662,306,car,3,7356,1100ee,1100eecar0
35,659,294,car,3,7356,1100ee,1100eecar0
35,657,239,car,3,7356,1100ee,1100eecar0
35,648,216,car,3,7356,1100ee,1100eecar0
35,645,202,car,3,7356,1100ee,1100eecar0
35,645,186,car,3,7356,1100ee,1100eecar0
35,645,158,car,3,7356,1100ee,1100eecar0
35,641,127,car,3,7356,1100ee,1100eecar0
35,641,111,car,3,7356,1100ee,1100eecar0
35,635,76,car,3,7356,1100ee,1100eecar0
35,634,56,car,3,7356,1100ee,1100eecar0
1373,526,212,car,3,7356,1100ee,1100eecar1
1373,530,227,car,3,7356,1100ee,1100eecar1
1373,530,257,car,3,7356,1100ee,1100eecar1
1373,532,271,car,3,7356,1100ee,1100eecar1
1373,536,282,car,3,7356,1100ee,1100eecar1
1373,536,296,car,3,7356,1100ee,1100eecar1
1373,539,310,car,3,7356,1100ee,1100eecar1
1373,539,344,car,3,7356,1100ee,1100eecar1
1373,539,360,car,3,7356,1100ee,1100eecar1
1373,544,372,car,3,7356,1100ee,1100eecar1
1373,544,410,car,3,7356,1100ee,1100eecar1
1373,544,426,car,3,7356,1100ee,1100eecar1
1373,546,440,car,3,7356,1100ee,1100eecar1
1373,546,457,car,3,7356,1100ee,1100eecar1
1373,547,474,car,3,7356,1100ee,1100eecar1
1373,549,509,car,3,7356,1100ee,1100eecar1
1373,560,570,car,3,7356,1100ee,1100eecar1
1373,564,580,car,3,7356,1100ee,1100eecar1
559,694,604,car,3,7356,1100ee,1100eecar2
559,693,597,car,3,7356,1100ee,1100eecar2
559,688,597,car,3,7356,1100ee,1100eecar2
559,688,585,car,3,7356,1100ee,1100eecar2
559,686,576,car,3,7356,1100ee,1100eecar2
559,682,572,car,3,7356,1100ee,1100eecar2
559,681,553,car,3,7356,1100ee,1100eecar2
559,670,510,car,3,7356,1100ee,1100eecar2
559,669,495,car,3,7356,1100ee,1100eecar2
559,666,486,car,3,7356,1100ee,1100eecar2
559,664,455,car,3,7356,1100ee,1100eecar2
559,659,444,car,3,7356,1100ee,1100eecar2
559,655,422,car,3,7356,1100ee,1100eecar2
